LakeName,County,Species,RegulationType,DailyLimit,PossessionLimit,MinimumSize,MaximumSize,ProtectedSlot,IsCatchAndRelease,RegulationDetails
"LA SALLE LAKE","Hubbard","Walleye","PossessionLimit",,2,"","","",False,"Walleye: possession limit 2"
"LA SALLE LAKE","Hubbard","Smallmouth Bass","CatchAndRelease",,,"","","",True,"Largemouth and smallmouth bass: catch-and-release only"
"LA SALLE LAKE","Hubbard","Northern Pike","PossessionLimit",,1,"","","",False,"Northern pike: possession limit 1"
"LA SALLE LAKE","Hubbard","Crappie","PossessionLimit",,5,"","","",False,"Crappie: possession limit 5"
"LA SALLE LAKE","Hubbard","Sunfish","PossessionLimit",,5,"","","",False,"Sunfish: possession limit 5"
"LA SALLE LAKE","Hubbard","Perch","PossessionLimit",,10,"","","",False,"Yellow perch: possession limit 10"
"LA SALLE LAKE","Hubbard","Walleye","PossessionLimit",,4,"","","",False,"⁕NEW—LAC QUI PARLE LAKE upstream to Marsh Lake Dam, including the Watson Sag upstream to the diversion dam (Lac qui Parle and Chippewa) Walleye: possession limit 4, only 1 over 20"""
"LA SALLE LAKE","Hubbard","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"LADY LAKE near Grey Eagle","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LEECH LAKE","Cass","Crappie","DailyLimit",5,,"","","",False,"Crappie: daily limit 5"
"LEECH LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LEECH LAKE","Cass","Walleye","PossessionLimit",,4,"","","",False,"Walleye: possession limit 4, only 1 over 20"""
"LEVEN LAKE","Pope","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LIDA LAKES, South and North, including Mud Lake","Otter Tail","Crappie","SizeLimit",,,"11""","","",False,"Crappie: minimum size limit 11"""
"LIDA LAKES, South and North, including Mud Lake","Otter Tail","Walleye","ProtectedSlot",,,"","","17-26""",False,"Walleye: all from 17-26"" must be immediately released, only 1 over 26"" allowed in possession"
"LIDA LAKES, South and North, including Mud Lake","Otter Tail","Sunfish","DailyLimit",10,,"","","",False,"Sunfish: daily limit 10"
"LILY LAKE and connected Long Lake","Todd","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LIND LAKE","Cass","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE BOWSTRING LAKE","Itasca","Sunfish","DailyLimit",5,,"","","",False,"Sunfish: daily limit 5"
"LITTLE BOY LAKE","Cass","Northern Pike","Combined",,3,"","","24-36""",False,"Northern pike: all from 24-36"" must be immediately released, possession limit 3, only 1 over 36"""
